Fold,Epoch,Train Loss,Train R2,Train_Corr,Validation Loss,Validation R2,Validation_Corr
0,0,513.8686674460089,-516.559814453125,0.023032791435610822,13.822121456567093,-12.91529655456543,-0.02308585236664232
0,1,16.731436221130956,-15.851482391357422,0.0037274648764643423,4.2306495900096195,-3.26711368560791,0.056186450824826914
0,2,7.915043672801513,-6.971859455108643,0.018289451069944875,1.68617277574322,-0.7003023624420166,0.04700258381664489
0,3,3.4213720944907284,-2.445941686630249,0.007478337396118438,1.6193327658813492,-0.6339043378829956,0.03777500347431808
0,4,1.7431887357053182,-0.7556556463241577,0.01728529231539595,1.3654148270364714,-0.37798988819122314,0.016529726930476107
0,5,50.602743906400185,-49.96698760986328,-0.0007745388088752336,1.2476515960596835,-0.2575005292892456,-0.009590182108486597
0,6,1.6122342776186318,-0.623754620552063,0.03906005210893204,0.9914875853097873,-4.5418739318847656e-05,0.1438186719008836
0,7,1.3709758004624673,-0.3805190324783325,0.057286186833121346,1.4127017815827358,-0.4254610538482666,0.19954191877126706
0,8,1.4283791372463817,-0.4381399154663086,0.017415790710023523,0.9759561144388639,0.015485107898712158,0.17297923360137266
0,9,1.2623632413607841,-0.2711954116821289,0.026956533143865428,1.0401500689717922,-0.04940927028656006,0.08888606912850086
0,10,1.1327636280637745,-0.1407766342163086,0.03817957829054479,1.2641360969678592,-0.2755674123764038,0.030638969373971293
0,11,1.0815155834767292,-0.08911490440368652,0.025628437817036828,1.0573484386630387,-0.06685900688171387,0.1457910461182263
0,12,1.0321650089433732,-0.03952789306640625,0.057245115165195065,0.9928267118539887,-0.0016102790832519531,0.08307829200363041
0,13,1.0174913139147599,-0.024782896041870117,0.0032425857547936595,0.995473756813086,-0.004155874252319336,-0.014380764926932993
0,14,0.9993907091072869,-0.006496310234069824,-0.004122835106557868,0.9921486255550674,-0.0008149147033691406,-0.02343480066949749
0,15,0.9984679340244306,-0.005588412284851074,-0.018645417910359688,0.9927363414694423,-0.0014247894287109375,-0.021841644100209327
0,16,0.9973519546863941,-0.004411458969116211,0.0009821025909444161,0.9928112517484287,-0.0014734268188476562,-0.026489359186074455
0,17,391.38816488034485,-393.2061767578125,-0.018237386430906728,2.6447433049862203,-1.668698787689209,0.10428433751027927
