Fold,Epoch,Train Loss,Train R2,Train_Corr,Validation Loss,Validation R2,Validation_Corr
0,0,130097.01879295341,-131030.25,0.01764373904413087,4385.561106322748,-4422.009765625,0.04640815014508983
0,1,4304.916649166212,-4334.56298828125,0.019714373037822485,472.7165901709182,-475.5612487792969,0.03417533124549339
0,2,1114.3046525966795,-1121.3192138671875,-0.011893256510910059,94.44182350374909,-94.32242584228516,-0.058897149241885306
0,3,1789.91821076225,-1801.803955078125,0.010640052966793998,92.01647794584514,-91.89743041992188,0.027416191312248293
0,4,13123.966177110251,-13215.99609375,0.006903697696100293,95368.34885817308,-96202.1875,0.11052345622128755
0,5,2226.8435454972487,-2241.862548828125,-0.007482816667000525,19.345600547095543,-18.530654907226562,0.049875211545558136
0,6,68.04031362075816,-67.52507019042969,0.028345329232842012,1.9376360255214367,-0.9554640054702759,0.005494784401054166
0,7,26.55718845826514,-25.747568130493164,-0.010480087785272003,33.02503246817029,-32.31857681274414,0.027855674641529864
0,8,55.82393767137416,-55.13838577270508,0.003049632038239477,346.38992087175006,-348.417724609375,0.10691116608206054
0,9,43.122751169442644,-42.39775085449219,-0.0318853897393807,127.41297909508833,-127.56523132324219,-0.04480210925876245
0,10,27.24459646068506,-26.44058609008789,0.012541362432478794,3.420307595297875,-2.4514002799987793,-0.014691365492605453
0,11,3.500727897409912,-2.525360107421875,0.012676374534114142,5.667443016762675,-4.7192487716674805,0.005561809051805847
0,12,11.095348509279548,-10.173444747924805,0.003182152148629929,4.395783959612673,-3.433551788330078,0.020201271388019748
0,13,15.029235233255523,-14.13733196258545,0.0035281897755809685,1.1426770845767458,-0.15305519104003906,0.031197918770877922
0,14,7.846114726346496,-6.902374267578125,0.01749700226697223,10.773567722876544,-9.865163803100586,-0.06974346558472114
0,15,943.50966703232,-949.3017578125,0.007249075123748963,15.531289744473662,-14.676178932189941,-0.05825952268108847
