Fold,Epoch,Train Loss,Train R2,Train_Corr,Validation Loss,Validation R2,Validation_Corr
0,0,103137.67048881554,-103878.8203125,-0.011974986789416494,4266.044811418665,-4305.19677734375,-0.026379168205709184
0,1,3575.7122861636085,-3600.398193359375,0.018820208219352038,837.4061009951448,-844.0310668945312,0.016665082389117132
0,2,1059.4890401302982,-1066.1048583984375,0.0047600226887451825,60.00148715084863,-59.576019287109375,-0.009213247768675924
0,3,1544.2301746308501,-1554.3431396484375,-0.0003242110269636814,570.4976993823341,-574.5586547851562,0.14150470549791905
0,4,521.0190878479676,-523.7688598632812,0.0007824154582808048,125.68313664366842,-125.90941619873047,-0.01124518150895386
0,5,17840.875173547225,-17968.2890625,-0.010787102122017478,348.5487245876297,-350.2999267578125,0.04703269798868236
0,6,372.52770095948875,-374.2025146484375,0.0114908831300131,104.08949357005748,-103.93262481689453,0.05995293681738934
0,7,85.04162004701756,-84.65351867675781,0.0063654249132827885,7.905023239402153,-6.969392776489258,0.07733240879907724
0,8,14.711627069411549,-13.817185401916504,-0.004139755272760782,2.375239764087596,-1.396068811416626,0.05882885901823875
0,9,4.283292511215748,-3.313143253326416,0.01930550257072558,12.333328563674742,-11.446656227111816,0.0019298541354724457
0,10,10.336684098646513,-9.396944999694824,-0.015187530560295403,4.23823491667929,-3.274601936340332,0.12118245186933273
0,11,9.774071286831584,-8.841475486755371,-0.0021039556962010536,39.414484456483166,-38.75309371948242,-0.01677471705615314
0,12,6817.712846763953,-6865.72216796875,0.013662604875297715,118.47090455491534,-118.51637268066406,-0.025226744907748205
0,13,157.48086307645448,-157.61056518554688,-0.009335028838428535,100.02494795023189,-99.91402435302734,0.0184859080792756
0,14,43.95136460127439,-43.266380310058594,0.0029493885950621314,5.352261223291096,-4.400637626647949,0.003401960769782702
0,15,8.327554348693914,-7.386831283569336,-0.007178769475489493,2.44146030718981,-1.4621098041534424,0.010955181724723479
0,16,3.191136769157775,-2.214031934738159,0.014329011616637745,1.0953940225516254,-0.10473966598510742,0.018504381770131906
